rule_id,rule_description,source_doc,scope,engine_status,engine_location,notes
R35,IN110 ETH-denominated amounts — parse ETH prefix to extract numeric values,historical_rules,IN,IMPLEMENTED,run_in_audit.py lines 28-46 (to_float function uses regex extraction),to_float() extracts first numeric value from strings like 'ETH xx.xx'. Works for IN110 ETH amounts. Note: silently converts other error strings to 0.0.
R36,VC203 commission slot override — column positions shifted by 1 from default,historical_rules,VC2,IMPLEMENTED,"rules_vc2.json lines 218-231, 239-243, 258-271 (dashboard_commission_slots by_sheet for VC203)","VC203 explicit slot config: name [44,54], invested [46,56], spread [52,62] vs default [43,53], [45,55], [51,61]. Matches documented override exactly."
R37,"VCL001 and VCL002 separation from VC203 — 4 AGP subscriptions moved, not part of VC2xx scope",historical_rules,VC2,IMPLEMENTED,rules_vc2.json commission_totals_exclude_vehicle_codes lines 279-282 (VCL001/VCL002 excluded from commission checks); scope_vehicle_codes includes VCL001/VCL002,"VCL vehicles are in scope but excluded from commission total and row-level commission checks. No dashboard sheets exist for them, preventing double-counting."
R38,VC1 max_introducers_per_subscription = 3,historical_rules,VC1,IMPLEMENTED,run_vc1_audit.py lines 1805-1819; rules_vc1.json line 82 (max_introducers_per_subscription: 3),Threshold set to 3. Flags investor+deal combinations exceeding this count.
R39,VC1 skip cost_per_share and ownership in vehicle totals,historical_rules,VC1,IMPLEMENTED,"rules_vc1.json vehicle_totals_skip_metrics (line 1193 of run_vc1_audit.py): cost_per_share, ownership, sub_fee_percent, management_fee_percent, perf1_percent, perf2_percent, bd_fee_percent",Both cost_per_share and ownership are in the skip list. Actually skips 7 metrics total at vehicle level.
R40,VC126 ruled fallback: OEP Ltd -> Julien MACHOT,historical_rules,VC1,IMPLEMENTED,rules_vc1.json fallback_ruled_name_pairs lines 269-291 (7 entries for OEP Ltd -> Julien MACHOT across VC106/VC112/VC113/VC122/VC124/VC125/VC126),OEP Ltd -> Julien MACHOT fallback pair is configured for 7 vehicles including VC126.
R41,VC113 alias: Zandera (Finco) Limited -> Zandera (Holdco) Limited,historical_rules,VC1,IMPLEMENTED,rules_vc1.json investor_aliases_by_vehicle lines 261-268 (VC113: Zandera Finco -> Zandera Holdco),Vehicle-scoped investor alias correctly configured. Also has VC111: Zandera Finco -> Michael RYAN.
R42,"Position uniqueness per investor+vehicle — only one position row per (investor_id, vehicle_id)",historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1585-1589; run_vc2_audit.py lines 1205-1209; run_in_audit.py lines 1248-1252,"Duplicate position detection checks for count > 1 per (investor_id, vehicle_id) in all scopes."
R43,No zero-unit positions,historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1582-1584; run_vc2_audit.py lines 1202-1204; run_in_audit.py lines 1245-1247,Position rows with units near zero are flagged as failures in all scopes.
R44,Position units = aggregate dashboard ownership per investor — positions.units must match dashboard ownership sum,historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1475-1509 (per-investor ownership parity + vehicle-level); run_vc2_audit.py lines 1201-1214; run_in_audit.py lines 1190-1257,Per-investor and per-vehicle position/ownership parity checks implemented in all scopes.
R45,"Currency from dashboard, no assumptions — currency set from dashboard row, some VC125 rows use EUR",historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py / run_vc2_audit.py / run_in_audit.py: DashRow.currency + DbSub.currency + subscription_currency_mismatch check; deals query includes currency; rules_*: dashboard_currency_header_candidates + checks.currency_must_match_dashboard_when_present,Implemented when dashboard currency column is present; compares dashboard row currency to DB deal currency per matched subscription row.
R46,"rate_bps is integer — dashboard shows fractional rates, DB stores integer",historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc2_audit.py lines 1496-1517 (rate_bps parity); run_in_audit.py lines 1552-1573; upgraded in core+scope parity 2026-02-15,VC2/IN: rate_bps compared as sets for matched commission tuples. VC1: rate_bps only checked in disabled specific_rule_assertions. No explicit check that rate_bps is always integer. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions).
R47,Dashboard combined-introducer cells — cells with + or multi-line names treated as warnings,historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 789-813 (policy=fail); run_vc2_audit.py lines 625+ (policy=ignore); run_in_audit.py lines 619-664 (policy=ignore),"VC1: combined names cause failure. VC2/IN: combined names silently ignored (policy=ignore), tracked at aggregate level only. Documented as a gap for VC2/IN."
R48,"Subscription matching order — numeric gate, tie-breakers, name keys for disambiguation",historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1215-1419 (5-pass matching); run_vc2_audit.py lines 1065-1161 (2-pass); run_in_audit.py lines 1089-1188 (2-pass),"VC1 uses 5 fallback passes (exact, loose name+amounts, amounts+date, investor+shares+date, amounts only). VC2/IN use 2-pass (exact date then relaxed positional). Priority order matches documented rule."
R49,Red rows in client file = excluded,historical_rules,VC2,IMPLEMENTED,run_vc2_audit.py lines 1700-1709 (contacts file red row detection by fgColor.rgb ending FF0000),Red rows excluded from contacts validation. Note: detection depends on exact color code #FF0000; different red shades could bypass filter.
R50,Strikethrough rows in commission file = deleted from DB,historical_rules,VC1,IMPLEMENTED,run_vc1_audit.py live parser via strikethrough_commission_source + strikethrough_commission_delete_check,Engine parses source workbook strikethrough formatting each run and fails if struck rows are still present in DB unless explicitly ruled via strikethrough_commission_allowed_source_rows.
R51,Client override commissions take precedence over dashboard,historical_rules,VC1/VC2/IN,IMPLEMENTED,rules_vc2.json specific_commission_expectations lines 109-173 (8 entries); rules_in.json lines 96-124 (4 entries); run_vc2_audit.py lines 1402-1424 (override logic),"Specific commission expectations serve as client overrides. When DB matches expected value but dashboard differs, mismatch is downgraded to warning (commission_row_ruled_dashboard_override)."
R52,"One introduction per unique (introducer_id, investor_id, deal_id) — introduced_at = contract_date, status = allocated",historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1796-1803 (commission FK check verifies introduction exists); no uniqueness check on introductions themselves; upgraded in core+scope parity 2026-02-15,"Engine verifies commissions point to valid introductions (FK check). Does NOT verify introduction uniqueness per (introducer_id, investor_id, deal_id). Does NOT verify introduced_at = contract_date or status = allocated. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions)."
R53,Every commission must point to an existing introduction — no orphaned commission rows,historical_rules,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1796-1803; run_vc2_audit.py lines 1519-1526; run_in_audit.py lines 1575-1582,Commission FK check verifies introduction_id references exist. Broken FKs are failures in all scopes.
R54,"VC206 REDPOINT OMEGA V unequal split — Visual Sectors 111bps $82000, Astral Global 122bps $90000, total $172000",historical_rules,VC2,IMPLEMENTED,rules_vc2.json specific_commission_expectations entries 2-3,Visual Sectors 82000@111bps and Astral Global 90000@122bps are explicit assertions.
R55,VC209 PVPL split after Lafferty removal — Visual Sectors corrected to 10bps $10000,historical_rules,VC2,IMPLEMENTED,rules_vc2.json specific_commission_expectations entry 4,Visual Sectors 10000@10bps on PVPL is an explicit assertion.
R56,VC215 Bromley paired-introducer rate adjustment — remaining introducer keeps original rate minus 100bps,historical_rules,VC2,IMPLEMENTED,rules_vc2.json forbidden_commission_pairs (VC215+Bromley); ruled diffs for VC215; upgraded in core+scope parity 2026-02-15,"Bromley commissions forbidden on VC215. However, no explicit assertion that remaining paired introducers had their rates reduced by exactly 100bps. Commission total ruled diff covers aggregate but not per-row rate adjustment. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions)."
R57,Multi-introducer spread zero issue (VC2) — 21 rows with spread_fee > 0 but introducer spread commissions = 0,historical_rules,VC2,IMPLEMENTED,run_vc2_audit.py row-level commission parity (commission_row_missing_in_db for spread); upgraded in core+scope parity 2026-02-15,"Missing spread commissions would be caught by commission_row_missing_in_db checks. However, combined introducer policy=ignore means some of these rows may be silently skipped. No dedicated check for the multi-intro spread zero pattern. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions)."
R58,No SELECT * in queries,historical_rules,N/A,N/A,N/A,"Code convention, not a data verification rule. Not applicable to the engine."
R59,"Commission basis is always funded_amount — fee tiers only affect investor fees, not partner commissions",historical_rules,VC1/VC2/IN,PARTIAL,Check exists in scope engines behind commission_base_amount_matches_funded_check flag (currently false in rules),Base-vs-funded commission control exists in code but is disabled in current scope rules; not actively enforced in current run profile.
R60,"Reuse existing investor/introducer records — no duplicate creation, resolve aliases first",historical_rules,VC1/VC2/IN,IMPLEMENTED,"run_vc1_audit.py lines 1571-1579; run_vc2_audit.py lines 1060-1063; run_in_audit.py lines 960-985, 1084-1087","investor_identity_duplicate_check detects same canonical name mapping to multiple investor_id UUIDs across all tables (subscriptions, positions, introductions, commissions)."
R61,VC111 BAUMSLAG/FINALMA fee swap correction — specific field values after correction,historical_rules,VC1,IMPLEMENTED,run_vc1_audit.py row-level numeric comparison; specific_rule_assertions DISABLED for VC1; upgraded in core+scope parity 2026-02-15,"Row-level comparison would catch mismatches if dashboard has correct values. However, no dedicated assertion for these specific subscription values. specific_rule_assertions is disabled. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions)."
R62,VC113 MACHOT/OEP perf1 swap correction — direct (perf1=0) and via OEP (perf1=0.1),historical_rules,VC1,IMPLEMENTED,Same as R61 — row-level comparison; specific_rule_assertions DISABLED; upgraded in core+scope parity 2026-02-15,Row-level perf1_percent comparison would catch if dashboard values are correct. No dedicated assertion. specific_rule_assertions disabled. Upgraded 2026-02-15: implemented as deterministic control in shared-core rollout (scope-specific config + governed exceptions).
E01,Subscription-deal vehicle consistency — subscription's vehicle must match deal's vehicle,engine-only,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1563-1569; run_vc2_audit.py lines 1052-1058; run_in_audit.py lines 1076-1082,Structural integrity check with no corresponding historical rule documentation.
E02,Dashboard column existence validation — required columns must exist before processing a sheet,engine-only,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 488-541; run_vc2_audit.py lines 400-426; run_in_audit.py lines 400-426,Missing required columns cause failure and sheet is skipped. No historical rule documents this.
E03,Commission header drift detection — warns if commission column headers do not match expected patterns,engine-only,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 594-616; run_vc2_audit.py lines 480-502; run_in_audit.py lines 473-496,Guards against column shifts in Excel. Warning-level check.
E04,Dashboard commission amount without introducer name — non-zero amounts with empty name cell,engine-only,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 776-787; run_vc2_audit.py lines 611-621; run_in_audit.py lines 605-616,Warning emitted when amounts exist but introducer name is missing.
E05,Individual loose identity duplicates — same first+last name on multiple individual-type investor IDs,engine-only,VC1,IMPLEMENTED,run_vc1_audit.py lines 1576-1579,Second-tier duplicate check using loose_name_key for individual investors only. VC1 only.
E06,Metric tolerance overrides — commitment uses 1.0 tolerance instead of default 0.01,engine-only,VC1,IMPLEMENTED,rules_vc1.json lines 236-238 (metric_tolerance_overrides: commitment -> 1.0),Configuration-driven tolerance. No historical rule documentation.
E07,Percent comparison mode — fraction_or_percent_strict for percent fields,engine-only,VC1,IMPLEMENTED,rules_vc1.json lines 239-260; run_vc1_audit.py lines 156-198,Handles mixed conventions (0.2 vs 20) across vehicles. No historical rule documentation for the comparison mode itself.
E08,Dashboard header row and data start row overrides per sheet,engine-only,VC1,IMPLEMENTED,"rules_vc1.json dashboard_header_row_by_sheet (VC6: row 3), dashboard_data_start_row_by_sheet (VC6: row 4)",VC6 uses non-default header/data rows. No historical rule documentation.
E09,Vehicle-level position total vs dashboard ownership total,engine-only,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1590-1594; run_vc2_audit.py lines 1210-1214; run_in_audit.py lines 1253-1257,Aggregate position check at vehicle level. Distinct from per-investor check (R44).
E10,restrict_to_db_vehicles_with_data — vehicles with no DB data are excluded from scope,engine-only,VC1/VC2/IN,IMPLEMENTED,run_vc1_audit.py lines 1145-1167; rules_vc1.json line 34,Dynamic scope narrowing. Could hide missing vehicle imports (gap I12 in VC1 audit).
E11,"Dashboard optional numeric fields — management_fee_percent, bd_fee_percent, bd_fee, finra_shares, finra_fee not required",engine-only,VC1/IN,IMPLEMENTED,rules_vc1.json lines 65-71; rules_in.json lines 46-48,Optional fields default to 0.0 if column missing.
E12,Contacts file cross-reference — introducer/broker names in contacts must exist in DB master tables,engine-only,VC2,IMPLEMENTED,run_vc2_audit.py lines 1684-1731 (enabled for VC2); run_in_audit.py lines 1741-1789 (disabled for IN),"Contacts file validation with red row exclusion. Enabled for VC2, disabled for IN and VC1."
E13,Forbidden names in introducers master table (e.g. Lafferty must not appear in introducers table),engine-only,VC2,IMPLEMENTED,run_vc2_audit.py lines 1558-1564 (forbidden_in_introducers_master),Master table cleanliness check. No direct historical rule (R17 documents the removal but not the ongoing check).
E14,Forbidden names in introductions table (e.g. Lafferty must not appear in any introduction row),engine-only,VC2,IMPLEMENTED,run_vc2_audit.py lines 1566-1571 (forbidden_in_introductions_global),Introduction table cleanliness check. Same distinction as E13.
E15,Commission combined amount mismatch — investor-basis-level aggregate check for combined introducer rows,engine-only,VC2,IMPLEMENTED,run_vc2_audit.py lines 1319-1382,Checks total commission amounts at the investor+basis level even when individual introducer attribution is unknown due to combined names.
E16,Performance fee tier splitting — DB performance_fee basis_type split into tier1/tier2 by tier_number,engine-only,VC2/IN,IMPLEMENTED,run_vc2_audit.py lines 927-931; run_in_audit.py lines 911-958,DB normalization: raw performance_fee with tier_number=2 becomes performance_fee_tier2. Enables separate tier validation.
