sheet,metric,dashboard,db,export,db_minus_dashboard,export_minus_db,status
VC206,intro_spread,0.0,0.0,0.0,0.0,0.0,OK
VC206,intro_perf,0.0,0.0,0.0,0.0,0.0,OK
VC207,sub_count,25.0,25,25.0,0.0,0.0,OK
VC207,commitment,12210820.0,12210820.0,12210820.0,0.0,0.0,OK
VC207,funded,12210820.0,12210820.0,12210820.0,0.0,0.0,OK
VC207,shares,28001.0,28001.0,28001.0,0.0,0.0,OK
VC207,ownership_units,28001.0,28001.0,28001.0,0.0,0.0,OK
VC207,spread_fee,859049.0,859049.0,859049.0,0.0,0.0,OK
VC207,sub_fee,169996.2,169996.2,169996.2,0.0,0.0,OK
VC207,bd_fee,5008.75,5008.75,5008.75,0.0,0.0,OK
VC207,finra_fee,0.0,0.0,0.0,0.0,0.0,OK
VC207,intro_invested,141932.1,115793.4,115793.4,-26138.7,0.0,RULED_DIFF
VC207,intro_spread,0.0,0.0,0.0,0.0,0.0,OK
VC207,intro_perf,0.0,0.0,0.0,0.0,0.0,OK
VC209,sub_count,25.0,25,25.0,0.0,0.0,OK
VC209,commitment,39499896.0,39499896.0,39499896.0,0.0,0.0,OK
VC209,funded,39499896.0,39499896.0,39499896.0,0.0,0.0,OK
VC209,shares,814734.0,814734.0,814734.0,0.0,0.0,OK
VC209,ownership_units,814734.0,814734.0,814734.0,0.0,0.0,OK
VC209,spread_fee,8079471.1565,8079471.1565,8079471.1565,-0.0,0.0,OK
VC209,sub_fee,80266.66,80266.66,80266.66,0.0,0.0,OK
VC209,bd_fee,0.0,0.0,0.0,0.0,0.0,OK
VC209,finra_fee,0.0,0.0,0.0,0.0,0.0,OK
VC209,intro_invested,704343.97,496663.47,496663.47,-207680.5,0.0,RULED_DIFF
VC209,intro_spread,0.0,0.0,0.0,0.0,0.0,OK
VC209,intro_perf,0.0,0.0,0.0,0.0,0.0,OK
VC210,sub_count,2.0,2,2.0,0.0,0.0,OK
VC210,commitment,45000.0,45000.0,45000.0,0.0,0.0,OK
VC210,funded,45000.0,45000.0,45000.0,0.0,0.0,OK
VC210,shares,226.0,226.0,226.0,0.0,0.0,OK
VC210,ownership_units,226.0,226.0,226.0,0.0,0.0,OK
VC210,spread_fee,3164.0,3164.0,3164.0,0.0,0.0,OK
VC210,sub_fee,1350.0,1350.0,1350.0,0.0,0.0,OK
VC210,bd_fee,0.0,0.0,0.0,0.0,0.0,OK
VC210,finra_fee,0.0,0.0,0.0,0.0,0.0,OK
VC210,intro_invested,3839.0,3839.0,3839.0,0.0,0.0,OK
VC210,intro_spread,0.0,0.0,0.0,0.0,0.0,OK
VC210,intro_perf,0.0,0.0,0.0,0.0,0.0,OK
VC211,sub_count,1.0,1,1.0,0.0,0.0,OK
VC211,commitment,315000.0,315000.0,315000.0,0.0,0.0,OK
VC211,funded,315000.0,315000.0,315000.0,0.0,0.0,OK
VC211,shares,1529.0,1529.0,1529.0,0.0,0.0,OK
VC211,ownership_units,1529.0,1529.0,1529.0,0.0,0.0,OK
VC211,spread_fee,16666.1,16666.1,16666.1,0.0,0.0,OK
VC211,sub_fee,9450.0,9450.0,9450.0,0.0,0.0,OK
VC211,bd_fee,0.0,0.0,0.0,0.0,0.0,OK
VC211,finra_fee,0.0,0.0,0.0,0.0,0.0,OK
VC211,intro_invested,3622.5,3622.5,3622.5,0.0,0.0,OK
VC211,intro_spread,0.0,0.0,0.0,0.0,0.0,OK
VC211,intro_perf,0.0,0.0,0.0,0.0,0.0,OK
VC215,sub_count,19.0,19,19.0,0.0,0.0,OK
VC215,commitment,15032122.0,15032122.0,15032122.0,0.0,0.0,OK
VC215,funded,15032122.0,15032122.0,15032122.0,0.0,0.0,OK
VC215,shares,85600.0,85600.0,85600.0,0.0,0.0,OK
VC215,ownership_units,80000.0,80000.0,80000.0,0.0,0.0,OK
VC215,spread_fee,2191716.76,2191716.76,2191716.76,0.0,0.0,OK
VC215,sub_fee,381503.5,381503.5,381503.5,0.0,0.0,OK
VC215,bd_fee,25606.8,25606.8,25606.8,0.0,0.0,OK
VC215,finra_fee,0.0,0.0,0.0,0.0,0.0,OK
VC215,intro_invested,833678.32,692955.91,692955.91,-140722.41,0.0,RULED_DIFF
VC215,intro_spread,25654.80021,25654.81,25654.81,0.00979,-0.0,OK
VC215,intro_perf,0.0,0.0,0.0,0.0,0.0,OK
